egoid,term,semester,academic_year,college_year,courses_enrolled,graded_courses,term_gpa,courses_passed
49294,201120,Spring 2012,2011-2012,Freshman,8,5,3.933,8
49294,201210,Fall 2012,2012-2013,Sophomore,8,6,3.945,8
49294,201220,Spring 2013,2012-2013,Sophomore,8,5,3.933,8
49294,201310,Fall 2013,2013-2014,Junior,10,6,3.945,10
49294,201320,Spring 2014,2013-2014,Junior,8,6,3.778,8
49294,201410,Fall 2014,2014-2015,Senior,8,4,3.5,8
49294,201420,Spring 2015,2014-2015,Senior,8,5,3.533,8
50947,201110,Fall 2011,2011-2012,Freshman,13,5,3.0,13
50947,201120,Spring 2012,2011-2012,Freshman,6,5,3.067,6
50947,201210,Fall 2012,2012-2013,Sophomore,5,5,2.467,5
50947,201220,Spring 2013,2012-2013,Sophomore,5,5,2.333,5
50947,201310,Fall 2013,2013-2014,Junior,6,5,3.067,6
50947,201320,Spring 2014,2013-2014,Junior,5,5,3.4,5
50947,201410,Fall 2014,2014-2015,Senior,6,6,3.111,6
50947,201420,Spring 2015,2014-2015,Senior,4,4,3.083,4
51102,201110,Fall 2011,2011-2012,Freshman,10,4,3.667,10
51102,201120,Spring 2012,2011-2012,Freshman,8,6,3.722,8
51102,201210,Fall 2012,2012-2013,Sophomore,6,4,3.667,6
51102,201220,Spring 2013,2012-2013,Sophomore,6,5,3.867,6
51102,201300,Summer 2013,2013-2014,Junior,2,0,,2
51102,201310,Fall 2013,2013-2014,Junior,7,7,3.714,7
51102,201320,Spring 2014,2013-2014,Junior,5,5,3.533,5
51102,201410,Fall 2014,2014-2015,Senior,6,6,3.667,6
51102,201420,Spring 2015,2014-2015,Senior,6,4,3.917,6
51552,201110,Fall 2011,2011-2012,Freshman,11,5,3.933,11
51552,201120,Spring 2012,2011-2012,Freshman,6,5,3.933,6
51552,201210,Fall 2012,2012-2013,Sophomore,6,5,3.8,6
51552,201220,Spring 2013,2012-2013,Sophomore,5,5,3.733,5
51552,201310,Fall 2013,2013-2014,Junior,5,5,3.867,5
51552,201320,Spring 2014,2013-2014,Junior,5,5,3.867,5
51552,201410,Fall 2014,2014-2015,Senior,5,4,3.833,5
51552,201420,Spring 2015,2014-2015,Senior,6,5,3.133,6
51597,201110,Fall 2011,2011-2012,Freshman,16,3,3.778,16
51597,201120,Spring 2012,2011-2012,Freshman,8,5,3.467,8
51597,201210,Fall 2012,2012-2013,Sophomore,8,7,3.333,8
51597,201220,Spring 2013,2012-2013,Sophomore,8,7,3.048,8
51597,201310,Fall 2013,2013-2014,Junior,6,5,3.2,6
51597,201320,Spring 2014,2013-2014,Junior,8,5,3.467,8
51597,201410,Fall 2014,2014-2015,Senior,8,4,3.417,8
51597,201420,Spring 2015,2014-2015,Senior,6,4,3.333,6
51675,201110,Fall 2011,2011-2012,Freshman,7,5,3.733,7
51675,201120,Spring 2012,2011-2012,Freshman,6,5,3.8,6
51675,201210,Fall 2012,2012-2013,Sophomore,5,5,3.8,5
51675,201220,Spring 2013,2012-2013,Sophomore,5,5,3.933,5
51675,201310,Fall 2013,2013-2014,Junior,6,6,4.0,6
51675,201320,Spring 2014,2013-2014,Junior,4,4,4.0,4
51675,201410,Fall 2014,2014-2015,Senior,6,5,4.0,6
51675,201420,Spring 2015,2014-2015,Senior,7,6,4.0,7
51722,201110,Fall 2011,2011-2012,Freshman,13,7,3.952,13
51722,201120,Spring 2012,2011-2012,Freshman,10,7,3.905,10
51722,201210,Fall 2012,2012-2013,Sophomore,7,5,3.933,7
51722,201220,Spring 2013,2012-2013,Sophomore,9,6,3.945,9
51722,201310,Fall 2013,2013-2014,Junior,8,6,3.889,8
51722,201320,Spring 2014,2013-2014,Junior,6,5,3.933,6
51722,201410,Fall 2014,2014-2015,Senior,6,5,3.867,6
51722,201420,Spring 2015,2014-2015,Senior,6,4,3.917,6
52385,201110,Fall 2011,2011-2012,Freshman,8,4,3.667,7
52385,201120,Spring 2012,2011-2012,Freshman,15,5,2.667,14
52385,201210,Fall 2012,2012-2013,Sophomore,5,4,3.0,4
52385,201220,Spring 2013,2012-2013,Sophomore,6,6,3.667,6
52385,201310,Fall 2013,2013-2014,Junior,9,7,3.762,9
52385,201320,Spring 2014,2013-2014,Junior,8,7,3.81,8
52385,201410,Fall 2014,2014-2015,Senior,8,7,3.857,8
52441,201110,Fall 2011,2011-2012,Freshman,7,5,3.2,7
52441,201120,Spring 2012,2011-2012,Freshman,5,4,3.25,5
52441,201210,Fall 2012,2012-2013,Sophomore,6,5,3.333,6
52441,201220,Spring 2013,2012-2013,Sophomore,5,5,3.2,5
52441,201310,Fall 2013,2013-2014,Junior,5,5,3.133,5
52441,201320,Spring 2014,2013-2014,Junior,5,5,3.533,5
52441,201410,Fall 2014,2014-2015,Senior,6,6,3.556,6
52441,201420,Spring 2015,2014-2015,Senior,5,4,3.417,5
52923,201110,Fall 2011,2011-2012,Freshman,11,5,3.533,11
52923,201120,Spring 2012,2011-2012,Freshman,5,4,3.25,5
52923,201200,Summer 2012,2012-2013,Sophomore,2,2,3.833,2
52923,201210,Fall 2012,2012-2013,Sophomore,7,7,3.571,7
52923,201220,Spring 2013,2012-2013,Sophomore,7,7,3.333,7
52923,201300,Summer 2013,2013-2014,Junior,2,2,4.0,2
52923,201310,Fall 2013,2013-2014,Junior,6,5,3.6,6
52923,201320,Spring 2014,2013-2014,Junior,6,5,3.667,6
52923,201410,Fall 2014,2014-2015,Senior,6,5,3.733,6
52923,201420,Spring 2015,2014-2015,Senior,7,7,3.714,7
53275,201110,Fall 2011,2011-2012,Freshman,20,6,3.389,20
53275,201120,Spring 2012,2011-2012,Freshman,8,5,2.6,8
53275,201210,Fall 2012,2012-2013,Sophomore,6,5,3.066,6
53275,201220,Spring 2013,2012-2013,Sophomore,5,5,3.533,5
53275,201300,Summer 2013,2013-2014,Junior,1,1,4.0,1
53275,201310,Fall 2013,2013-2014,Junior,6,6,2.889,6
53275,201320,Spring 2014,2013-2014,Junior,5,5,3.133,5
53275,201410,Fall 2014,2014-2015,Senior,6,5,3.267,6
53275,201420,Spring 2015,2014-2015,Senior,5,5,2.333,4
53884,201110,Fall 2011,2011-2012,Freshman,10,5,3.8,10
53884,201120,Spring 2012,2011-2012,Freshman,6,5,3.467,6
53884,201210,Fall 2012,2012-2013,Sophomore,5,5,3.733,5
53884,201220,Spring 2013,2012-2013,Sophomore,5,5,3.8,5
53884,201310,Fall 2013,2013-2014,Junior,5,5,3.867,5
53884,201320,Spring 2014,2013-2014,Junior,5,5,3.8,5
53884,201410,Fall 2014,2014-2015,Senior,5,5,3.667,5
53884,201420,Spring 2015,2014-2015,Senior,4,4,3.833,4
57637,201110,Fall 2011,2011-2012,Freshman,10,5,3.467,10
57637,201120,Spring 2012,2011-2012,Freshman,6,5,3.533,6
57637,201210,Fall 2012,2012-2013,Sophomore,5,5,3.867,5
57637,201220,Spring 2013,2012-2013,Sophomore,5,5,3.933,5
57637,201310,Fall 2013,2013-2014,Junior,7,5,3.8,7
57637,201320,Spring 2014,2013-2014,Junior,5,5,3.8,5
57637,201410,Fall 2014,2014-2015,Senior,5,5,3.733,5
57637,201420,Spring 2015,2014-2015,Senior,4,4,3.917,4
58909,201110,Fall 2011,2011-2012,Freshman,12,5,3.2,12
58909,201120,Spring 2012,2011-2012,Freshman,6,5,2.933,6
58909,201210,Fall 2012,2012-2013,Sophomore,5,5,3.067,5
58909,201220,Spring 2013,2012-2013,Sophomore,6,5,3.0,6
58909,201300,Summer 2013,2013-2014,Junior,2,2,3.5,2
58909,201310,Fall 2013,2013-2014,Junior,6,6,2.945,6
58909,201320,Spring 2014,2013-2014,Junior,5,5,3.2,5
58909,201410,Fall 2014,2014-2015,Senior,5,5,3.267,5
58909,201420,Spring 2015,2014-2015,Senior,4,4,3.417,4
60482,201110,Fall 2011,2011-2012,Freshman,11,5,3.533,11
60482,201120,Spring 2012,2011-2012,Freshman,5,4,3.417,5
60482,201210,Fall 2012,2012-2013,Sophomore,5,5,3.734,5
60482,201220,Spring 2013,2012-2013,Sophomore,6,6,3.278,6
60482,201310,Fall 2013,2013-2014,Junior,6,6,3.445,6
60482,201320,Spring 2014,2013-2014,Junior,7,7,3.571,7
60482,201410,Fall 2014,2014-2015,Senior,4,4,3.083,4
60482,201420,Spring 2015,2014-2015,Senior,4,4,3.5,4
61280,201110,Fall 2011,2011-2012,Freshman,9,4,2.417,8
61280,201120,Spring 2012,2011-2012,Freshman,7,5,2.867,7
61280,201210,Fall 2012,2012-2013,Sophomore,6,5,2.8,6
61280,201220,Spring 2013,2012-2013,Sophomore,6,5,2.8,6
61280,201310,Fall 2013,2013-2014,Junior,5,5,2.133,5
61280,201320,Spring 2014,2013-2014,Junior,4,4,2.167,4
61280,201410,Fall 2014,2014-2015,Senior,6,6,2.167,6
61280,201420,Spring 2015,2014-2015,Senior,5,5,1.933,5
63063,201110,Fall 2011,2011-2012,Freshman,11,5,3.0,11
63063,201120,Spring 2012,2011-2012,Freshman,6,5,2.934,6
63063,201210,Fall 2012,2012-2013,Sophomore,6,6,3.389,6
63063,201220,Spring 2013,2012-2013,Sophomore,7,7,2.952,7
63063,201310,Fall 2013,2013-2014,Junior,5,5,3.266,5
63063,201320,Spring 2014,2013-2014,Junior,5,5,3.467,5
63063,201410,Fall 2014,2014-2015,Senior,5,5,3.333,5
63063,201420,Spring 2015,2014-2015,Senior,4,4,3.583,4
63188,201110,Fall 2011,2011-2012,Freshman,9,5,2.667,9
63188,201120,Spring 2012,2011-2012,Freshman,6,5,2.733,6
63188,201210,Fall 2012,2012-2013,Sophomore,5,5,3.2,5
63188,201220,Spring 2013,2012-2013,Sophomore,5,5,3.4,5
63188,201310,Fall 2013,2013-2014,Junior,5,4,3.333,5
63188,201320,Spring 2014,2013-2014,Junior,5,5,3.533,5
63188,201410,Fall 2014,2014-2015,Senior,5,5,3.534,5
63188,201420,Spring 2015,2014-2015,Senior,4,4,3.583,4
63757,201100,Summer 2011 / AP,2011-2012,Pre-College,1,1,3.667,1
63757,201110,Fall 2011,2011-2012,Freshman,14,6,3.667,14
63757,201120,Spring 2012,2011-2012,Freshman,8,5,3.8,8
63757,201210,Fall 2012,2012-2013,Sophomore,6,6,3.556,6
63757,201220,Spring 2013,2012-2013,Sophomore,6,6,3.389,6
63757,201300,Summer 2013,2013-2014,Junior,2,2,3.833,2
63757,201310,Fall 2013,2013-2014,Junior,7,6,3.389,7
63757,201320,Spring 2014,2013-2014,Junior,5,5,3.667,5
63757,201410,Fall 2014,2014-2015,Senior,5,5,3.734,5
63757,201420,Spring 2015,2014-2015,Senior,6,5,3.467,6
66245,201110,Fall 2011,2011-2012,Freshman,8,5,3.733,8
66245,201120,Spring 2012,2011-2012,Freshman,7,5,3.867,7
66245,201210,Fall 2012,2012-2013,Sophomore,5,5,3.667,5
66245,201220,Spring 2013,2012-2013,Sophomore,6,5,3.4,6
66245,201310,Fall 2013,2013-2014,Junior,6,5,4.0,6
66245,201320,Spring 2014,2013-2014,Junior,6,5,3.533,6
66245,201410,Fall 2014,2014-2015,Senior,6,5,3.867,6
66245,201420,Spring 2015,2014-2015,Senior,4,4,3.75,4
66754,201110,Fall 2011,2011-2012,Freshman,9,4,3.583,9
66754,201120,Spring 2012,2011-2012,Freshman,6,5,3.6,6
66754,201210,Fall 2012,2012-2013,Sophomore,5,5,3.467,5
66754,201220,Spring 2013,2012-2013,Sophomore,5,5,3.8,5
66754,201310,Fall 2013,2013-2014,Junior,7,6,3.945,7
66754,201320,Spring 2014,2013-2014,Junior,5,5,3.733,5
66754,201410,Fall 2014,2014-2015,Senior,5,5,4.0,5
66754,201420,Spring 2015,2014-2015,Senior,2,2,4.0,2
66991,201110,Fall 2011,2011-2012,Freshman,12,5,3.8,12
66991,201120,Spring 2012,2011-2012,Freshman,6,5,3.733,6
66991,201210,Fall 2012,2012-2013,Sophomore,7,7,3.571,7
66991,201220,Spring 2013,2012-2013,Sophomore,7,5,3.6,7
66991,201310,Fall 2013,2013-2014,Junior,7,6,3.889,7
66991,201320,Spring 2014,2013-2014,Junior,7,7,3.81,7
66991,201410,Fall 2014,2014-2015,Senior,7,7,3.762,7
66991,201420,Spring 2015,2014-2015,Senior,5,4,3.917,5
68533,201110,Fall 2011,2011-2012,Freshman,9,5,3.4,9
68533,201120,Spring 2012,2011-2012,Freshman,6,5,3.333,6
68533,201210,Fall 2012,2012-2013,Sophomore,7,6,3.333,7
68533,201220,Spring 2013,2012-2013,Sophomore,7,6,3.5,7
68533,201300,Summer 2013,2013-2014,Junior,2,2,4.0,2
68533,201310,Fall 2013,2013-2014,Junior,6,6,3.055,6
68533,201320,Spring 2014,2013-2014,Junior,5,5,3.067,5
68533,201410,Fall 2014,2014-2015,Senior,7,7,3.381,7
68533,201420,Spring 2015,2014-2015,Senior,6,5,2.8,6
68633,201110,Fall 2011,2011-2012,Freshman,10,5,3.267,10
68633,201120,Spring 2012,2011-2012,Freshman,6,5,3.467,6
68633,201210,Fall 2012,2012-2013,Sophomore,6,5,3.667,6
68633,201220,Spring 2013,2012-2013,Sophomore,6,4,3.917,6
68633,201310,Fall 2013,2013-2014,Junior,7,7,3.857,7
68633,201320,Spring 2014,2013-2014,Junior,7,6,3.833,7
68633,201410,Fall 2014,2014-2015,Senior,6,6,3.556,6
68633,201420,Spring 2015,2014-2015,Senior,5,5,3.333,5
69065,201110,Fall 2011,2011-2012,Freshman,11,5,3.533,11
69065,201120,Spring 2012,2011-2012,Freshman,7,5,3.8,7
69065,201210,Fall 2012,2012-2013,Sophomore,6,5,3.667,6
69065,201220,Spring 2013,2012-2013,Sophomore,7,6,3.722,7
69065,201310,Fall 2013,2013-2014,Junior,6,5,3.867,6
69065,201320,Spring 2014,2013-2014,Junior,6,5,3.867,6
69065,201410,Fall 2014,2014-2015,Senior,5,4,3.75,5
69065,201420,Spring 2015,2014-2015,Senior,5,4,3.917,5
70889,201110,Fall 2011,2011-2012,Freshman,13,5,3.2,13
70889,201120,Spring 2012,2011-2012,Freshman,7,5,3.533,7
70889,201210,Fall 2012,2012-2013,Sophomore,8,7,3.286,8
70889,201220,Spring 2013,2012-2013,Sophomore,7,6,3.167,7
70889,201310,Fall 2013,2013-2014,Junior,8,7,3.381,8
70889,201320,Spring 2014,2013-2014,Junior,6,6,3.277,6
70889,201410,Fall 2014,2014-2015,Senior,7,6,3.667,7
70889,201420,Spring 2015,2014-2015,Senior,6,4,3.833,6
71518,201110,Fall 2011,2011-2012,Freshman,12,7,3.429,12
71518,201120,Spring 2012,2011-2012,Freshman,6,6,3.333,6
71518,201210,Fall 2012,2012-2013,Sophomore,8,7,3.381,8
71518,201220,Spring 2013,2012-2013,Sophomore,8,8,3.667,8
71518,201310,Fall 2013,2013-2014,Junior,7,7,3.381,7
71518,201320,Spring 2014,2013-2014,Junior,6,6,3.611,6
71518,201410,Fall 2014,2014-2015,Senior,6,6,3.5,6
71518,201420,Spring 2015,2014-2015,Senior,5,5,3.534,5
71627,201110,Fall 2011,2011-2012,Freshman,11,6,3.333,11
71627,201120,Spring 2012,2011-2012,Freshman,7,5,3.733,7
71627,201210,Fall 2012,2012-2013,Sophomore,7,5,3.6,7
71627,201220,Spring 2013,2012-2013,Sophomore,6,5,3.533,6
71627,201310,Fall 2013,2013-2014,Junior,6,5,3.6,6
71627,201320,Spring 2014,2013-2014,Junior,6,5,3.667,6
71627,201410,Fall 2014,2014-2015,Senior,5,5,3.4,5
71627,201420,Spring 2015,2014-2015,Senior,5,5,3.8,5
72700,201110,Fall 2011,2011-2012,Freshman,13,6,3.833,13
72700,201120,Spring 2012,2011-2012,Freshman,10,8,4.0,10
72700,201210,Fall 2012,2012-2013,Sophomore,6,5,3.733,6
72700,201220,Spring 2013,2012-2013,Sophomore,7,6,3.889,7
72700,201300,Summer 2013,2013-2014,Junior,1,1,4.0,1
72700,201410,Fall 2014,2014-2015,Senior,6,4,4.0,6
72700,201420,Spring 2015,2014-2015,Senior,5,5,4.0,5
72746,201110,Fall 2011,2011-2012,Freshman,10,5,3.133,10
72746,201120,Spring 2012,2011-2012,Freshman,6,5,3.267,6
72746,201210,Fall 2012,2012-2013,Sophomore,6,6,2.556,6
72746,201220,Spring 2013,2012-2013,Sophomore,5,5,2.8,5
72746,201310,Fall 2013,2013-2014,Junior,5,5,2.733,5
72746,201320,Spring 2014,2013-2014,Junior,6,6,2.611,6
72746,201410,Fall 2014,2014-2015,Senior,4,4,2.917,4
72746,201420,Spring 2015,2014-2015,Senior,4,4,2.833,4
73303,201110,Fall 2011,2011-2012,Freshman,9,5,3.6,9
73303,201120,Spring 2012,2011-2012,Freshman,6,5,3.933,6
73303,201210,Fall 2012,2012-2013,Sophomore,6,6,3.611,6
73303,201220,Spring 2013,2012-2013,Sophomore,5,5,3.467,5
73303,201310,Fall 2013,2013-2014,Junior,5,5,3.8,5
73303,201320,Spring 2014,2013-2014,Junior,5,5,3.667,5
73303,201400,Summer 2014,2014-2015,Senior,1,1,4.0,1
73303,201410,Fall 2014,2014-2015,Senior,5,5,3.667,5
73303,201420,Spring 2015,2014-2015,Senior,4,4,3.75,4
74916,201110,Fall 2011,2011-2012,Freshman,10,6,3.389,10
74916,201120,Spring 2012,2011-2012,Freshman,7,6,3.167,7
74916,201210,Fall 2012,2012-2013,Sophomore,5,5,2.467,5
74916,201220,Spring 2013,2012-2013,Sophomore,6,6,2.778,6
74916,201310,Fall 2013,2013-2014,Junior,6,5,2.067,5
74916,201320,Spring 2014,2013-2014,Junior,6,5,3.133,6
74916,201410,Fall 2014,2014-2015,Senior,6,6,2.889,6
74916,201420,Spring 2015,2014-2015,Senior,9,7,2.809,9
75178,201110,Fall 2011,2011-2012,Freshman,8,5,4.0,8
75178,201120,Spring 2012,2011-2012,Freshman,6,5,4.0,6
75178,201210,Fall 2012,2012-2013,Sophomore,5,5,3.867,5
75178,201220,Spring 2013,2012-2013,Sophomore,5,5,3.867,5
75178,201310,Fall 2013,2013-2014,Junior,4,4,4.0,4
75178,201320,Spring 2014,2013-2014,Junior,5,5,3.933,5
75178,201410,Fall 2014,2014-2015,Senior,5,4,4.0,5
75178,201420,Spring 2015,2014-2015,Senior,5,5,4.0,5
75468,201110,Fall 2011,2011-2012,Freshman,13,5,3.867,13
75468,201120,Spring 2012,2011-2012,Freshman,7,5,3.867,7
75468,201210,Fall 2012,2012-2013,Sophomore,7,7,3.952,7
75468,201220,Spring 2013,2012-2013,Sophomore,7,6,4.0,7
75468,201310,Fall 2013,2013-2014,Junior,6,6,4.0,6
75468,201320,Spring 2014,2013-2014,Junior,5,5,3.8,5
75468,201400,Summer 2014,2014-2015,Senior,2,2,4.0,2
75468,201410,Fall 2014,2014-2015,Senior,6,6,4.0,6
75468,201420,Spring 2015,2014-2015,Senior,6,6,4.0,6
77291,201110,Fall 2011,2011-2012,Freshman,8,5,3.133,8
77291,201120,Spring 2012,2011-2012,Freshman,5,3,3.0,5
77291,201210,Fall 2012,2012-2013,Sophomore,6,5,3.2,6
77291,201220,Spring 2013,2012-2013,Sophomore,5,5,3.267,5
77291,201310,Fall 2013,2013-2014,Junior,5,4,3.25,5
77291,201320,Spring 2014,2013-2014,Junior,5,5,3.467,5
77291,201410,Fall 2014,2014-2015,Senior,6,6,3.389,6
77291,201420,Spring 2015,2014-2015,Senior,5,4,3.417,5
78911,201110,Fall 2011,2011-2012,Freshman,14,6,3.945,14
78911,201120,Spring 2012,2011-2012,Freshman,9,6,3.889,9
78911,201210,Fall 2012,2012-2013,Sophomore,7,6,3.833,7
78911,201220,Spring 2013,2012-2013,Sophomore,8,7,3.905,8
78911,201310,Fall 2013,2013-2014,Junior,6,6,3.889,6
78911,201320,Spring 2014,2013-2014,Junior,9,7,3.952,9
78911,201410,Fall 2014,2014-2015,Senior,9,8,3.958,9
78911,201420,Spring 2015,2014-2015,Senior,5,5,4.0,5
78966,201110,Fall 2011,2011-2012,Freshman,11,5,3.8,11
78966,201120,Spring 2012,2011-2012,Freshman,7,5,3.4,7
78966,201210,Fall 2012,2012-2013,Sophomore,5,5,3.467,5
78966,201220,Spring 2013,2012-2013,Sophomore,5,5,3.867,5
78966,201300,Summer 2013,2013-2014,Junior,2,2,3.833,2
78966,201310,Fall 2013,2013-2014,Junior,5,5,3.467,5
78966,201320,Spring 2014,2013-2014,Junior,5,5,3.467,5
78966,201410,Fall 2014,2014-2015,Senior,10,8,3.708,10
78966,201420,Spring 2015,2014-2015,Senior,10,9,3.593,10
82060,201110,Fall 2011,2011-2012,Freshman,9,5,3.667,9
82060,201120,Spring 2012,2011-2012,Freshman,7,5,3.667,7
82060,201210,Fall 2012,2012-2013,Sophomore,6,6,3.833,6
82060,201220,Spring 2013,2012-2013,Sophomore,5,5,4.0,5
82060,201310,Fall 2013,2013-2014,Junior,5,5,4.0,5
82060,201320,Spring 2014,2013-2014,Junior,5,5,4.0,5
82060,201410,Fall 2014,2014-2015,Senior,5,5,3.933,5
82060,201420,Spring 2015,2014-2015,Senior,2,2,3.833,2
83184,201110,Fall 2011,2011-2012,Freshman,8,5,3.467,8
83184,201120,Spring 2012,2011-2012,Freshman,6,5,3.733,6
83184,201210,Fall 2012,2012-2013,Sophomore,6,6,3.722,6
83184,201220,Spring 2013,2012-2013,Sophomore,5,5,3.733,5
83184,201310,Fall 2013,2013-2014,Junior,6,6,3.833,6
83184,201320,Spring 2014,2013-2014,Junior,7,7,3.857,7
83184,201410,Fall 2014,2014-2015,Senior,8,7,3.952,8
83184,201420,Spring 2015,2014-2015,Senior,5,4,4.0,5
83568,201110,Fall 2011,2011-2012,Freshman,16,6,3.667,16
83568,201120,Spring 2012,2011-2012,Freshman,9,6,3.5,9
83568,201200,Summer 2012,2012-2013,Sophomore,1,1,4.0,1
83568,201210,Fall 2012,2012-2013,Sophomore,6,6,4.0,6
83568,201220,Spring 2013,2012-2013,Sophomore,5,5,4.0,5
83568,201310,Fall 2013,2013-2014,Junior,7,5,3.8,7
83568,201320,Spring 2014,2013-2014,Junior,6,6,3.833,6
83568,201410,Fall 2014,2014-2015,Senior,7,6,3.611,7
83568,201420,Spring 2015,2014-2015,Senior,6,5,3.867,6
84472,201110,Fall 2011,2011-2012,Freshman,14,6,3.167,14
84472,201120,Spring 2012,2011-2012,Freshman,7,6,2.889,7
84472,201210,Fall 2012,2012-2013,Sophomore,7,6,2.667,7
84472,201220,Spring 2013,2012-2013,Sophomore,9,7,3.333,9
84472,201310,Fall 2013,2013-2014,Junior,7,6,3.222,7
84472,201320,Spring 2014,2013-2014,Junior,7,6,3.445,7
84472,201400,Summer 2014,2014-2015,Senior,2,2,3.5,2
84472,201410,Fall 2014,2014-2015,Senior,6,5,2.933,6
84472,201420,Spring 2015,2014-2015,Senior,5,4,2.583,5
85596,201110,Fall 2011,2011-2012,Freshman,8,5,3.6,8
85596,201120,Spring 2012,2011-2012,Freshman,7,5,3.8,7
85596,201210,Fall 2012,2012-2013,Sophomore,7,6,3.833,7
85596,201220,Spring 2013,2012-2013,Sophomore,8,6,3.889,8
85596,201300,Summer 2013,2013-2014,Junior,2,2,3.5,2
85596,201310,Fall 2013,2013-2014,Junior,7,6,3.833,7
85596,201320,Spring 2014,2013-2014,Junior,7,7,3.857,7
85596,201410,Fall 2014,2014-2015,Senior,6,6,3.611,6
85596,201420,Spring 2015,2014-2015,Senior,6,5,3.733,6
85970,201110,Fall 2011,2011-2012,Freshman,12,6,3.389,12
85970,201120,Spring 2012,2011-2012,Freshman,7,6,3.111,7
85970,201210,Fall 2012,2012-2013,Sophomore,6,6,3.167,6
85970,201220,Spring 2013,2012-2013,Sophomore,6,6,3.222,6
85970,201310,Fall 2013,2013-2014,Junior,7,6,3.333,7
85970,201320,Spring 2014,2013-2014,Junior,6,6,3.333,6
85970,201410,Fall 2014,2014-2015,Senior,6,6,3.278,6
85970,201420,Spring 2015,2014-2015,Senior,5,5,3.867,5
90289,201110,Fall 2011,2011-2012,Freshman,7,5,3.6,7
90289,201120,Spring 2012,2011-2012,Freshman,7,6,3.722,7
90289,201210,Fall 2012,2012-2013,Sophomore,9,8,3.708,9
90289,201220,Spring 2013,2012-2013,Sophomore,8,8,3.625,8
90289,201310,Fall 2013,2013-2014,Junior,6,6,3.722,6
90289,201320,Spring 2014,2013-2014,Junior,5,4,3.583,5
90289,201410,Fall 2014,2014-2015,Senior,7,6,3.667,7
90289,201420,Spring 2015,2014-2015,Senior,5,4,3.167,5
90844,201220,Spring 2013,2012-2013,Sophomore,1,1,4.0,1
90844,201310,Fall 2013,2013-2014,Junior,1,1,3.667,1
90844,201410,Fall 2014,2014-2015,Senior,2,2,3.667,2
90844,201420,Spring 2015,2014-2015,Senior,1,1,4.0,1
91064,201110,Fall 2011,2011-2012,Freshman,13,5,3.333,13
91064,201120,Spring 2012,2011-2012,Freshman,6,4,3.167,6
91064,201210,Fall 2012,2012-2013,Sophomore,7,5,3.267,7
91064,201220,Spring 2013,2012-2013,Sophomore,8,4,3.25,8
91064,201310,Fall 2013,2013-2014,Junior,6,4,3.5,6
91064,201320,Spring 2014,2013-2014,Junior,7,4,3.333,7
91064,201410,Fall 2014,2014-2015,Senior,7,5,3.4,7
91064,201420,Spring 2015,2014-2015,Senior,7,4,3.417,7
92070,201110,Fall 2011,2011-2012,Freshman,14,5,3.867,14
92070,201120,Spring 2012,2011-2012,Freshman,6,5,3.933,6
92070,201210,Fall 2012,2012-2013,Sophomore,5,5,3.933,5
92070,201220,Spring 2013,2012-2013,Sophomore,6,5,3.8,6
92070,201310,Fall 2013,2013-2014,Junior,5,5,3.667,5
92070,201320,Spring 2014,2013-2014,Junior,5,5,3.867,5
92070,201410,Fall 2014,2014-2015,Senior,4,4,3.667,4
92070,201420,Spring 2015,2014-2015,Senior,4,3,3.889,4
92220,201310,Fall 2013,2013-2014,Junior,19,5,3.667,19
92220,201320,Spring 2014,2013-2014,Junior,9,4,3.667,9
92220,201410,Fall 2014,2014-2015,Senior,8,7,3.571,8
92220,201420,Spring 2015,2014-2015,Senior,10,7,3.619,10
92699,201110,Fall 2011,2011-2012,Freshman,7,6,3.0,7
92699,201120,Spring 2012,2011-2012,Freshman,7,6,2.833,7
92699,201210,Fall 2012,2012-2013,Sophomore,6,6,3.055,6
92699,201220,Spring 2013,2012-2013,Sophomore,6,6,3.278,6
92699,201310,Fall 2013,2013-2014,Junior,6,5,3.467,6
92699,201320,Spring 2014,2013-2014,Junior,6,6,3.389,6
92699,201410,Fall 2014,2014-2015,Senior,5,4,3.167,5
92699,201420,Spring 2015,2014-2015,Senior,4,4,3.333,4
92811,201310,Fall 2013,2013-2014,Junior,12,6,3.056,12
92811,201320,Spring 2014,2013-2014,Junior,7,6,3.333,7
92811,201400,Summer 2014,2014-2015,Senior,1,1,4.0,1
92811,201410,Fall 2014,2014-2015,Senior,8,8,3.708,8
92811,201420,Spring 2015,2014-2015,Senior,8,8,3.792,8
93418,201310,Fall 2013,2013-2014,Junior,10,5,2.867,10
93418,201320,Spring 2014,2013-2014,Junior,6,5,3.0,6
93418,201410,Fall 2014,2014-2015,Senior,6,6,2.778,6
93418,201420,Spring 2015,2014-2015,Senior,5,5,2.6,5
95400,201110,Fall 2011,2011-2012,Freshman,11,6,3.222,11
95400,201120,Spring 2012,2011-2012,Freshman,7,5,2.933,7
95400,201210,Fall 2012,2012-2013,Sophomore,8,6,3.555,8
95400,201220,Spring 2013,2012-2013,Sophomore,5,5,3.333,5
95400,201310,Fall 2013,2013-2014,Junior,6,4,3.667,6
95400,201320,Spring 2014,2013-2014,Junior,5,5,3.867,5
95400,201410,Fall 2014,2014-2015,Senior,6,5,3.4,6
95400,201420,Spring 2015,2014-2015,Senior,6,4,3.25,6
95798,201110,Fall 2011,2011-2012,Freshman,11,5,3.667,11
