dataset,variable,label,description
Network Survey Wave 3 (Summer 2012),groupmegroupscl008_sq003_3,Groupme.groups [cl008_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl008_sq004_3,Groupme.groups [cl008_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl008_sq005_3,Groupme.groups [cl008_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl009_sq001_3,Groupme.groups [cl009_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl009_sq002_3,Groupme.groups [cl009_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl009_sq003_3,Groupme.groups [cl009_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl009_sq004_3,Groupme.groups [cl009_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl009_sq005_3,Groupme.groups [cl009_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl010_sq001_3,Groupme.groups [cl010_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl010_sq002_3,Groupme.groups [cl010_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl010_sq003_3,Groupme.groups [cl010_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl010_sq004_3,Groupme.groups [cl010_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl010_sq005_3,Groupme.groups [cl010_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl011_sq001_3,Groupme.groups [cl011_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl011_sq002_3,Groupme.groups [cl011_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl011_sq003_3,Groupme.groups [cl011_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl011_sq004_3,Groupme.groups [cl011_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl011_sq005_3,Groupme.groups [cl011_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl012_sq001_3,Groupme.groups [cl012_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl012_sq002_3,Groupme.groups [cl012_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl012_sq003_3,Groupme.groups [cl012_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl012_sq004_3,Groupme.groups [cl012_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl012_sq005_3,Groupme.groups [cl012_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl013_sq001_3,Groupme.groups [cl013_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl013_sq002_3,Groupme.groups [cl013_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl013_sq003_3,Groupme.groups [cl013_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl013_sq004_3,Groupme.groups [cl013_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl013_sq005_3,Groupme.groups [cl013_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl014_sq001_3,Groupme.groups [cl014_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl014_sq002_3,Groupme.groups [cl014_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl014_sq003_3,Groupme.groups [cl014_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl014_sq004_3,Groupme.groups [cl014_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl014_sq005_3,Groupme.groups [cl014_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl015_sq001_3,Groupme.groups [cl015_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl015_sq002_3,Groupme.groups [cl015_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl015_sq003_3,Groupme.groups [cl015_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl015_sq004_3,Groupme.groups [cl015_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl015_sq005_3,Groupme.groups [cl015_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl016_sq001_3,Groupme.groups [cl016_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl016_sq002_3,Groupme.groups [cl016_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl016_sq003_3,Groupme.groups [cl016_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl016_sq004_3,Groupme.groups [cl016_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl016_sq005_3,Groupme.groups [cl016_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl017_sq001_3,Groupme.groups [cl017_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl017_sq002_3,Groupme.groups [cl017_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl017_sq003_3,Groupme.groups [cl017_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl017_sq004_3,Groupme.groups [cl017_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl017_sq005_3,Groupme.groups [cl017_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl018_sq001_3,Groupme.groups [cl018_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl018_sq002_3,Groupme.groups [cl018_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl018_sq003_3,Groupme.groups [cl018_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl018_sq004_3,Groupme.groups [cl018_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl018_sq005_3,Groupme.groups [cl018_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl019_sq001_3,Groupme.groups [cl019_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl019_sq002_3,Groupme.groups [cl019_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl019_sq003_3,Groupme.groups [cl019_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl019_sq004_3,Groupme.groups [cl019_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl019_sq005_3,Groupme.groups [cl019_SQ005],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl020_sq001_3,Groupme.groups [cl020_SQ001],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl020_sq002_3,Groupme.groups [cl020_SQ002],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl020_sq003_3,Groupme.groups [cl020_SQ003],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl020_sq004_3,Groupme.groups [cl020_SQ004],NA
Network Survey Wave 3 (Summer 2012),groupmegroupscl020_sq005_3,Groupme.groups [cl020_SQ005],NA
Network Survey Wave 3 (Summer 2012),survey_3,Survey,NA
Network Survey Wave 3 (Summer 2012),socialcontextWork_3,Interact at work,NA
Network Survey Wave 3 (Summer 2012),socialcontextTextcalling_3,Interact through text or calling,NA
Network Survey Wave 3 (Summer 2012),socialcontextInternet_3,Interact through the internet,NA
Network Survey Wave 3 (Summer 2012),socialcontextCulturalathletic_3,Interact through cultural or athletic event,NA
Network Survey Wave 3 (Summer 2012),socialcontextOther_3,Interact Other,NA
Network Survey Wave 3 (Summer 2012),alterother_3,Relationship type other,NA
Network Survey Wave 3 (Summer 2012),whatdorm_3,Dorm of alter,NA
Network Survey Wave 3 (Summer 2012),gender_3,Gender,NA
Network Survey Wave 3 (Summer 2012),reltype_3,Relationship Type,NA
Network Survey Wave 3 (Summer 2012),subjectivesimilar_3,Ego's perception of similarity to alter,NA
Network Survey Wave 3 (Summer 2012),verballypositive_sq001_3,Verbally Positive: publically,NA
Network Survey Wave 3 (Summer 2012),verballypositive_sq002_3,Verbally Positive: Privately,NA
Network Survey Wave 3 (Summer 2012),physicallypositive_sq001_3,Physically positive behavior in public,NA
Network Survey Wave 3 (Summer 2012),physicallypositive_sq002_3,Physically positive behavior in private,NA
Network Survey Wave 3 (Summer 2012),sociallypositive_sq001_3,Socially Positive: Defended You,NA
Network Survey Wave 3 (Summer 2012),sociallypositive_sq002_3,Socially Positive: Complimented or Recommended you to another,NA
Network Survey Wave 3 (Summer 2012),sociallypositive_sq003_3,Socially Positive: Was honest with you,NA
Network Survey Wave 3 (Summer 2012),sociallypositive_sq004_3,Socially Positive: Respected your privacy,NA
Network Survey Wave 3 (Summer 2012),sociallypositive_sq005_3,"Socially Positive: Yes, other",NA
Network Survey Wave 3 (Summer 2012),verballynegative_sq001_3,Verbally Negative publicly,NA
Network Survey Wave 3 (Summer 2012),verballynegative_sq002_3,Verbally Negative privately,NA
Network Survey Wave 3 (Summer 2012),physicallynegative_sq001_3,Physically Negative Publically,NA
Network Survey Wave 3 (Summer 2012),physicallynegative_sq002_3,Physically Negative Privately,NA
Network Survey Wave 3 (Summer 2012),sociallynegative_sq001_3,Socially Negative: Spread Rumors or Gossip,NA
Network Survey Wave 3 (Summer 2012),sociallynegative_sq002_3,Socially Negative: Withheld information from you,NA
Network Survey Wave 3 (Summer 2012),sociallynegative_sq003_3,Socially Negative: Embarrassed You,NA
Network Survey Wave 3 (Summer 2012),sociallynegative_sq004_3,Socially Negative: Made You feel under appreciated,NA
Network Survey Wave 3 (Summer 2012),sociallynegative_sq005_3,"Socially Negative: Yes, Other",NA
Network Survey Wave 3 (Summer 2012),duplicate,NA,NA
Network Survey Wave 3 (Summer 2012),duplicate_name_3,NA,NA
Network Survey Wave 3 (Summer 2012),duplicate_number_3,NA,NA
Network Survey Wave 4 (Fall 2012),v1_4,NA,NA
Network Survey Wave 4 (Fall 2012),FirstName_4,First Name,NA
Network Survey Wave 4 (Fall 2012),LastName_4,Last Name,NA
Network Survey Wave 4 (Fall 2012),language_4,NA,NA
Network Survey Wave 4 (Fall 2012),sent_4,NA,NA
Network Survey Wave 4 (Fall 2012),remindersent_4,NA,NA
Network Survey Wave 4 (Fall 2012),remindercount_4,NA,NA
Network Survey Wave 4 (Fall 2012),usesleft_4,NA,NA
Network Survey Wave 4 (Fall 2012),id_4,Survey ID,NA
Network Survey Wave 4 (Fall 2012),submitdate_4,NA,NA
Network Survey Wave 4 (Fall 2012),startlanguage_4,NA,NA
Network Survey Wave 4 (Fall 2012),token_4,NA,NA
Network Survey Wave 4 (Fall 2012),namenetid_sq001_4,name.netid_SQ001,NA
Network Survey Wave 4 (Fall 2012),namenetid_sq002_4,name.netid_SQ002,NA
Network Survey Wave 4 (Fall 2012),netid_4,name.netid_SQ003,NA
Network Survey Wave 4 (Fall 2012),numberalter_4,Number.alter,NA
Network Survey Wave 4 (Fall 2012),groupmefilter_4,groupme.filter,NA
Network Survey Wave 4 (Fall 2012),q_5activities_act01_4,q_5.activities_act01,NA
Network Survey Wave 4 (Fall 2012),q_5activities_act02_4,q_5.activities_act02,NA
Network Survey Wave 4 (Fall 2012),q_5activities_act03_4,q_5.activities_act03,NA
Network Survey Wave 4 (Fall 2012),q_5activities_act04_4,q_5.activities_act04,NA
Network Survey Wave 4 (Fall 2012),q_5activities_act05_4,q_5.activities_act05,NA
Network Survey Wave 4 (Fall 2012),altermusic_cl001_4,Alter.music_cl001,NA
Network Survey Wave 4 (Fall 2012),altermovies_cl001_4,Alter.movies_cl001,NA
Network Survey Wave 4 (Fall 2012),alterbooks_cl001_4,Alter.books_cl001,NA
Network Survey Wave 4 (Fall 2012),altersports_cl001_4,Alter.sports_cl001,NA
Network Survey Wave 4 (Fall 2012),altergames_cl001_4,Alter.games_cl001,NA
Network Survey Wave 4 (Fall 2012),alteroutdoor_cl001_4,Alter.outdoor_cl001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq001_sq001_4,alter1.rel_SQ001_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq002_sq001_4,alter1.rel_SQ002_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq003_sq001_4,alter1.rel_SQ003_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq004_sq001_4,alter1.rel_SQ004_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq005_sq001_4,alter1.rel_SQ005_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq006_sq001_4,alter1.rel_SQ006_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq007_sq001_4,alter1.rel_SQ007_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq008_sq001_4,alter1.rel_SQ008_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq009_sq001_4,alter1.rel_SQ009_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq010_sq001_4,alter1.rel_SQ010_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq011_sq001_4,alter1.rel_SQ011_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq012_sq001_4,alter1.rel_SQ012_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq013_sq001_4,alter1.rel_SQ013_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq014_sq001_4,alter1.rel_SQ014_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq015_sq001_4,alter1.rel_SQ015_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq016_sq001_4,alter1.rel_SQ016_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq017_sq001_4,alter1.rel_SQ017_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq018_sq001_4,alter1.rel_SQ018_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter1rel_sq019_sq001_4,alter1.rel_SQ019_SQ001,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq001_sq019_4,alter2.rel_SQ001_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq002_sq019_4,alter2.rel_SQ002_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq003_sq019_4,alter2.rel_SQ003_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq004_sq019_4,alter2.rel_SQ004_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq005_sq019_4,alter2.rel_SQ005_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq006_sq019_4,alter2.rel_SQ006_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq007_sq019_4,alter2.rel_SQ007_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq008_sq019_4,alter2.rel_SQ008_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq009_sq019_4,alter2.rel_SQ009_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq010_sq019_4,alter2.rel_SQ010_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq011_sq019_4,alter2.rel_SQ011_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq012_sq019_4,alter2.rel_SQ012_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq013_sq019_4,alter2.rel_SQ013_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq014_sq019_4,alter2.rel_SQ014_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq015_sq019_4,alter2.rel_SQ015_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq016_sq019_4,alter2.rel_SQ016_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq017_sq019_4,alter2.rel_SQ017_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter2rel_sq018_sq019_4,alter2.rel_SQ018_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq001_sq019_4,alter3.rel_SQ001_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq002_sq019_4,alter3.rel_SQ002_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq003_sq019_4,alter3.rel_SQ003_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq004_sq019_4,alter3.rel_SQ004_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq005_sq019_4,alter3.rel_SQ005_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq006_sq019_4,alter3.rel_SQ006_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq007_sq019_4,alter3.rel_SQ007_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq008_sq019_4,alter3.rel_SQ008_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq009_sq019_4,alter3.rel_SQ009_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq010_sq019_4,alter3.rel_SQ010_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq011_sq019_4,alter3.rel_SQ011_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq012_sq019_4,alter3.rel_SQ012_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq013_sq019_4,alter3.rel_SQ013_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq014_sq019_4,alter3.rel_SQ014_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq015_sq019_4,alter3.rel_SQ015_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq016_sq019_4,alter3.rel_SQ016_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter3rel_sq017_sq019_4,alter3.rel_SQ017_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq001_sq019_4,alter4.rel_SQ001_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq002_sq019_4,alter4.rel_SQ002_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq003_sq019_4,alter4.rel_SQ003_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq004_sq019_4,alter4.rel_SQ004_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq005_sq019_4,alter4.rel_SQ005_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq006_sq019_4,alter4.rel_SQ006_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq007_sq019_4,alter4.rel_SQ007_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq008_sq019_4,alter4.rel_SQ008_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq009_sq019_4,alter4.rel_SQ009_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq010_sq019_4,alter4.rel_SQ010_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq011_sq019_4,alter4.rel_SQ011_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq012_sq019_4,alter4.rel_SQ012_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq013_sq019_4,alter4.rel_SQ013_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq014_sq019_4,alter4.rel_SQ014_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq015_sq019_4,alter4.rel_SQ015_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter4rel_sq016_sq019_4,alter4.rel_SQ016_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq001_sq019_4,alter5.rel_SQ001_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq002_sq019_4,alter5.rel_SQ002_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq003_sq019_4,alter5.rel_SQ003_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq004_sq019_4,alter5.rel_SQ004_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq005_sq019_4,alter5.rel_SQ005_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq006_sq019_4,alter5.rel_SQ006_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq007_sq019_4,alter5.rel_SQ007_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq008_sq019_4,alter5.rel_SQ008_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq009_sq019_4,alter5.rel_SQ009_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq010_sq019_4,alter5.rel_SQ010_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq011_sq019_4,alter5.rel_SQ011_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq012_sq019_4,alter5.rel_SQ012_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq013_sq019_4,alter5.rel_SQ013_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq014_sq019_4,alter5.rel_SQ014_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter5rel_sq015_sq019_4,alter5.rel_SQ015_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq001_sq019_4,alter6.rel_SQ001_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq002_sq019_4,alter6.rel_SQ002_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq003_sq019_4,alter6.rel_SQ003_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq004_sq019_4,alter6.rel_SQ004_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq005_sq019_4,alter6.rel_SQ005_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq006_sq019_4,alter6.rel_SQ006_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq007_sq019_4,alter6.rel_SQ007_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq008_sq019_4,alter6.rel_SQ008_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq009_sq019_4,alter6.rel_SQ009_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq010_sq019_4,alter6.rel_SQ010_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq011_sq019_4,alter6.rel_SQ011_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq012_sq019_4,alter6.rel_SQ012_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq013_sq019_4,alter6.rel_SQ013_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter6rel_sq014_sq019_4,alter6.rel_SQ014_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq001_sq019_4,alter7.rel_SQ001_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq002_sq019_4,alter7.rel_SQ002_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq003_sq019_4,alter7.rel_SQ003_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq004_sq019_4,alter7.rel_SQ004_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq005_sq019_4,alter7.rel_SQ005_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq006_sq019_4,alter7.rel_SQ006_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq007_sq019_4,alter7.rel_SQ007_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq008_sq019_4,alter7.rel_SQ008_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq009_sq019_4,alter7.rel_SQ009_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq010_sq019_4,alter7.rel_SQ010_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq011_sq019_4,alter7.rel_SQ011_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq012_sq019_4,alter7.rel_SQ012_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter7rel_sq013_sq019_4,alter7.rel_SQ013_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq001_sq019_4,alter8.rel_SQ001_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq002_sq019_4,alter8.rel_SQ002_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq003_sq019_4,alter8.rel_SQ003_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq004_sq019_4,alter8.rel_SQ004_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq005_sq019_4,alter8.rel_SQ005_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq006_sq019_4,alter8.rel_SQ006_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq007_sq019_4,alter8.rel_SQ007_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq008_sq019_4,alter8.rel_SQ008_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq009_sq019_4,alter8.rel_SQ009_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq010_sq019_4,alter8.rel_SQ010_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq011_sq019_4,alter8.rel_SQ011_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter8rel_sq012_sq019_4,alter8.rel_SQ012_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq001_sq019_4,alter9.rel_SQ001_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq002_sq019_4,alter9.rel_SQ002_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq003_sq019_4,alter9.rel_SQ003_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq004_sq019_4,alter9.rel_SQ004_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq005_sq019_4,alter9.rel_SQ005_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq006_sq019_4,alter9.rel_SQ006_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq007_sq019_4,alter9.rel_SQ007_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq008_sq019_4,alter9.rel_SQ008_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq009_sq019_4,alter9.rel_SQ009_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq010_sq019_4,alter9.rel_SQ010_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter9rel_sq011_sq019_4,alter9.rel_SQ011_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter10rel_sq001_sq019_4,alter10.rel_SQ001_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter10rel_sq002_sq019_4,alter10.rel_SQ002_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter10rel_sq003_sq019_4,alter10.rel_SQ003_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter10rel_sq004_sq019_4,alter10.rel_SQ004_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter10rel_sq005_sq019_4,alter10.rel_SQ005_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter10rel_sq006_sq019_4,alter10.rel_SQ006_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter10rel_sq007_sq019_4,alter10.rel_SQ007_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter10rel_sq008_sq019_4,alter10.rel_SQ008_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter10rel_sq009_sq019_4,alter10.rel_SQ009_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter10rel_sq010_sq019_4,alter10.rel_SQ010_SQ019,NA
Network Survey Wave 4 (Fall 2012),alter11rel_sq001_sq019_4,alter11.rel_SQ001_SQ019,NA
